,Id,PetalWidthCm,Species,blabla
62,63,1.0,Iris-versicolor,23456
63,64,1.4,Iris-versicolor,23456
64,65,1.3,Iris-versicolor,23456
65,66,1.4,Iris-versicolor,23456
66,67,1.5,Iris-versicolor,23456
67,68,1.0,Iris-versicolor,23456
68,69,1.5,Iris-versicolor,23456
69,70,1.1,Iris-versicolor,23456
70,71,1.8,Iris-versicolor,23456
71,72,1.3,Iris-versicolor,23456
72,73,1.5,Iris-versicolor,23456
73,74,1.2,Iris-versicolor,23456
74,75,1.3,Iris-versicolor,23456
75,76,1.4,Iris-versicolor,23456
76,77,1.4,Iris-versicolor,23456
77,78,1.7,Iris-versicolor,23456
78,79,1.5,Iris-versicolor,23456
79,80,1.0,Iris-versicolor,23456
80,81,1.1,Iris-versicolor,23456
81,82,1.0,Iris-versicolor,23456
82,83,1.2,Iris-versicolor,23456
83,84,1.6,Iris-versicolor,23456
84,85,1.5,Iris-versicolor,23456
85,86,1.6,Iris-versicolor,23456
86,87,1.5,Iris-versicolor,23456
87,88,1.3,Iris-versicolor,23456
88,89,1.3,Iris-versicolor,23456
89,90,1.3,Iris-versicolor,23456
90,91,1.2,Iris-versicolor,23456
91,92,1.4,Iris-versicolor,23456
92,93,1.2,Iris-versicolor,23456
93,94,1.0,Iris-versicolor,23456
94,95,1.3,Iris-versicolor,23456
95,96,1.2,Iris-versicolor,23456
96,97,1.3,Iris-versicolor,23456
97,98,1.3,Iris-versicolor,23456
98,99,1.1,Iris-versicolor,23456
99,100,1.3,Iris-versicolor,23456
100,101,2.5,Iris-virginica,23456
101,102,1.9,Iris-virginica,23456
102,103,2.1,Iris-virginica,23456
103,104,1.8,Iris-virginica,23456
104,105,2.2,Iris-virginica,23456
105,106,2.1,Iris-virginica,23456
106,107,1.7,Iris-virginica,23456
107,108,1.8,Iris-virginica,23456
108,109,1.8,Iris-virginica,23456
109,110,2.5,Iris-virginica,23456
110,111,2.0,Iris-virginica,23456
111,112,1.9,Iris-virginica,23456
112,113,2.1,Iris-virginica,23456
113,114,2.0,Iris-virginica,23456
114,115,2.4,Iris-virginica,23456
115,116,2.3,Iris-virginica,23456
116,117,1.8,Iris-virginica,23456
117,118,2.2,Iris-virginica,23456
118,119,2.3,Iris-virginica,23456
119,120,1.5,Iris-virginica,23456
120,121,2.3,Iris-virginica,23456
121,122,2.0,Iris-virginica,23456
122,123,2.0,Iris-virginica,23456
123,124,1.8,Iris-virginica,23456
124,125,2.1,Iris-virginica,23456
125,126,1.8,Iris-virginica,23456
126,127,1.8,Iris-virginica,23456
127,128,1.8,Iris-virginica,23456
128,129,2.1,Iris-virginica,23456
129,130,1.6,Iris-virginica,23456
130,131,1.9,Iris-virginica,23456
131,132,2.0,Iris-virginica,23456
132,133,2.2,Iris-virginica,23456
133,134,1.5,Iris-virginica,23456
134,135,1.4,Iris-virginica,23456
135,136,2.3,Iris-virginica,23456
136,137,2.4,Iris-virginica,23456
137,138,1.8,Iris-virginica,23456
138,139,1.8,Iris-virginica,23456
139,140,2.1,Iris-virginica,23456
140,141,2.4,Iris-virginica,23456
141,142,2.3,Iris-virginica,23456
142,143,1.9,Iris-virginica,23456
143,144,2.3,Iris-virginica,23456
144,145,2.5,Iris-virginica,23456
145,146,2.3,Iris-virginica,23456
146,147,1.9,Iris-virginica,23456
147,148,2.0,Iris-virginica,23456
148,149,2.3,Iris-virginica,23456
149,150,1.8,Iris-virginica,23456
